Region,Customer Segment,Season,Marketing Strategy,Sales
North,Retail,Spring,Social Media,35380
North,Wholesale,Summer,TV Ads,22088
North,Wholesale,Summer,TV Ads,35860
South,Retail,Fall,Social Media,20614
West,Wholesale,Spring,TV Ads,10319
South,Retail,Winter,Email Campaign,32874
North,Retail,Spring,Radio Ads,46807
East,Wholesale,Summer,Email Campaign,40580
South,Retail,Summer,Social Media,30787
East,Wholesale,Fall,Radio Ads,18233
East,Retail,Summer,Social Media,32455
West,Retail,Summer,Social Media,26639
North,Wholesale,Summer,Radio Ads,15363
North,Wholesale,Spring,Email Campaign,40545
South,Wholesale,Summer,Radio Ads,45954
West,Retail,Spring,Email Campaign,39570
East,Wholesale,Winter,Radio Ads,21629
South,Wholesale,Spring,TV Ads,39771
East,Retail,Summer,TV Ads,15898
North,Wholesale,Spring,TV Ads,33791
South,Retail,Fall,Radio Ads,21186
East,Wholesale,Fall,Social Media,33441
East,Wholesale,Summer,Email Campaign,32268
West,Retail,Winter,Social Media,35189
East,Retail,Winter,Social Media,25737
East,Retail,Fall,Radio Ads,31299
East,Retail,Summer,TV Ads,11775
West,Retail,Summer,Email Campaign,14597
North,Wholesale,Fall,Social Media,10430
South,Retail,Spring,Social Media,49082
West,Wholesale,Spring,Social Media,17121
West,Retail,Summer,Social Media,46923
North,Wholesale,Summer,Radio Ads,49305
North,Retail,Winter,Email Campaign,23040
North,Retail,Spring,TV Ads,26702
South,Retail,Spring,Social Media,38588
North,Retail,Fall,Radio Ads,38633
South,Wholesale,Fall,TV Ads,39147
South,Retail,Winter,Radio Ads,16813
East,Wholesale,Fall,Radio Ads,36781
South,Wholesale,Winter,Radio Ads,20212
West,Retail,Spring,Radio Ads,28942
East,Retail,Summer,TV Ads,22645
East,Retail,Summer,Email Campaign,14100
East,Wholesale,Fall,Social Media,32931
South,Retail,Winter,TV Ads,48142
East,Retail,Spring,Email Campaign,18744
East,Wholesale,Spring,Social Media,38276
West,Retail,Spring,TV Ads,48517
North,Retail,Winter,Social Media,23102
East,Wholesale,Spring,TV Ads,23558
East,Retail,Fall,Radio Ads,19226
North,Retail,Fall,Social Media,46952
East,Wholesale,Winter,Radio Ads,20336
South,Wholesale,Winter,Radio Ads,49009
East,Wholesale,Spring,TV Ads,43351
North,Wholesale,Spring,Social Media,17517
West,Retail,Winter,TV Ads,46528
North,Wholesale,Winter,Radio Ads,27698
East,Retail,Fall,Social Media,12233
West,Wholesale,Spring,Radio Ads,22408
West,Wholesale,Spring,Radio Ads,11051
East,Wholesale,Winter,Radio Ads,31736
East,Wholesale,Winter,Radio Ads,16917
East,Wholesale,Summer,TV Ads,14446
East,Retail,Fall,Email Campaign,28907
South,Wholesale,Winter,TV Ads,38980
South,Wholesale,Winter,Email Campaign,37316
North,Retail,Summer,Radio Ads,15377
West,Wholesale,Winter,Social Media,12476
North,Retail,Summer,Radio Ads,23794
West,Retail,Spring,Social Media,44384
West,Wholesale,Summer,Radio Ads,15575
North,Wholesale,Summer,Radio Ads,31866
North,Retail,Summer,Radio Ads,23796
North,Wholesale,Summer,Email Campaign,29649
South,Wholesale,Spring,Radio Ads,18471
South,Wholesale,Fall,Social Media,16508
West,Wholesale,Winter,Radio Ads,29577
West,Wholesale,Summer,Social Media,18472
North,Retail,Fall,Email Campaign,38485
West,Retail,Fall,TV Ads,47153
South,Retail,Fall,Radio Ads,16420
North,Wholesale,Winter,Radio Ads,18077
North,Retail,Fall,Social Media,17692
South,Retail,Fall,Social Media,23420
South,Wholesale,Winter,TV Ads,19184
West,Wholesale,Spring,Social Media,25009
West,Wholesale,Fall,TV Ads,31327
North,Wholesale,Spring,Radio Ads,23269
North,Wholesale,Summer,Social Media,27596
East,Retail,Summer,TV Ads,34682
West,Wholesale,Winter,Social Media,13173
West,Retail,Winter,TV Ads,18828
West,Wholesale,Winter,Email Campaign,34250
South,Retail,Spring,Email Campaign,23008
East,Wholesale,Winter,Radio Ads,11426
East,Wholesale,Spring,Radio Ads,15810
South,Retail,Spring,Radio Ads,17866
West,Wholesale,Fall,Email Campaign,18758
East,Retail,Summer,Social Media,35240
East,Retail,Spring,Radio Ads,36619
East,Retail,Winter,Social Media,45512
South,Wholesale,Fall,Email Campaign,47986
East,Wholesale,Spring,Radio Ads,22964
East,Wholesale,Winter,Radio Ads,12943
West,Wholesale,Winter,Email Campaign,16761
North,Retail,Winter,Email Campaign,18957
North,Wholesale,Fall,Email Campaign,19903
East,Retail,Winter,Email Campaign,35189
North,Wholesale,Spring,Radio Ads,15940
West,Wholesale,Summer,Radio Ads,26257
East,Retail,Summer,Email Campaign,18800
East,Retail,Spring,Radio Ads,34201
South,Retail,Summer,Radio Ads,19510
East,Wholesale,Winter,Radio Ads,27042
South,Retail,Winter,Email Campaign,11738
North,Retail,Summer,TV Ads,11643
West,Retail,Fall,Email Campaign,44171
East,Wholesale,Spring,TV Ads,13326
West,Retail,Spring,Email Campaign,22535
West,Wholesale,Winter,Radio Ads,18964
East,Retail,Fall,Radio Ads,32510
East,Wholesale,Summer,Radio Ads,24450
South,Retail,Winter,Email Campaign,43217
West,Wholesale,Summer,Email Campaign,19375
North,Retail,Summer,Radio Ads,31681
North,Retail,Spring,TV Ads,15256
West,Wholesale,Spring,Radio Ads,33969
West,Retail,Summer,Email Campaign,26528
North,Wholesale,Spring,Radio Ads,26496
South,Retail,Summer,Email Campaign,25662
West,Wholesale,Fall,Email Campaign,35256
North,Wholesale,Winter,TV Ads,44122
West,Wholesale,Summer,Email Campaign,10350
North,Retail,Fall,TV Ads,21962
East,Retail,Fall,Email Campaign,30662
South,Retail,Winter,TV Ads,16205
East,Wholesale,Summer,Email Campaign,15818
North,Wholesale,Spring,Email Campaign,23208
South,Wholesale,Fall,TV Ads,18894
South,Wholesale,Summer,Email Campaign,26296
West,Wholesale,Spring,TV Ads,33303
East,Retail,Summer,TV Ads,34560
West,Retail,Winter,Social Media,41094
South,Retail,Fall,TV Ads,41828
North,Retail,Winter,Radio Ads,44888
South,Wholesale,Fall,TV Ads,38583
West,Wholesale,Spring,Radio Ads,20054
North,Wholesale,Fall,TV Ads,18701
South,Retail,Winter,Social Media,40293
North,Retail,Summer,Email Campaign,42535
South,Retail,Fall,Social Media,40907
West,Retail,Winter,Radio Ads,18222
South,Wholesale,Spring,Radio Ads,43337
North,Wholesale,Spring,Social Media,38068
South,Wholesale,Summer,Social Media,35980
West,Wholesale,Winter,Radio Ads,28858
South,Wholesale,Spring,Email Campaign,27406
North,Retail,Winter,Social Media,39628
West,Wholesale,Fall,Email Campaign,26231
North,Wholesale,Spring,Radio Ads,28598
North,Wholesale,Winter,Social Media,25279
West,Retail,Winter,Radio Ads,14549
North,Wholesale,Spring,Radio Ads,39265
North,Retail,Winter,Social Media,25980
North,Wholesale,Winter,Social Media,32309
North,Wholesale,Spring,TV Ads,10024
East,Wholesale,Fall,Social Media,19573
West,Wholesale,Winter,Social Media,34606
West,Wholesale,Spring,TV Ads,42523
South,Wholesale,Fall,Social Media,42705
North,Wholesale,Spring,TV Ads,21145
West,Retail,Winter,TV Ads,17901
West,Wholesale,Winter,Radio Ads,32475
North,Retail,Winter,Social Media,18723
North,Retail,Summer,TV Ads,28849
South,Retail,Spring,Email Campaign,20814
North,Retail,Fall,Social Media,19380
East,Wholesale,Winter,TV Ads,41011
North,Retail,Winter,Radio Ads,11351
West,Retail,Summer,Email Campaign,28547
West,Retail,Spring,TV Ads,10236
North,Retail,Spring,Email Campaign,34668
South,Retail,Winter,TV Ads,14233
East,Wholesale,Fall,Email Campaign,46879
North,Retail,Fall,Social Media,20156
East,Retail,Summer,TV Ads,26668
West,Wholesale,Spring,TV Ads,26992
North,Wholesale,Winter,Email Campaign,12691
East,Retail,Spring,Radio Ads,13779
North,Wholesale,Spring,Social Media,44837
South,Wholesale,Summer,Radio Ads,24989
South,Retail,Fall,Email Campaign,24497
North,Retail,Spring,Email Campaign,36413
West,Retail,Fall,TV Ads,36864
North,Wholesale,Spring,Social Media,45077
West,Wholesale,Summer,Social Media,12868
North,Retail,Spring,Radio Ads,16120
East,Retail,Summer,TV Ads,23806
East,Retail,Winter,Email Campaign,27778
East,Retail,Spring,Social Media,30760
East,Retail,Winter,Social Media,37068
West,Retail,Fall,TV Ads,29868
West,Retail,Spring,Social Media,24402
East,Retail,Winter,TV Ads,13946
South,Retail,Spring,Email Campaign,20037
East,Retail,Spring,Radio Ads,28851
North,Wholesale,Fall,Email Campaign,32045
East,Wholesale,Winter,TV Ads,11569
North,Retail,Spring,Social Media,27460
North,Wholesale,Spring,Social Media,31098
East,Retail,Summer,Email Campaign,41277
East,Wholesale,Spring,Radio Ads,34333
North,Retail,Winter,Email Campaign,15208
East,Retail,Spring,TV Ads,15385
North,Retail,Fall,Radio Ads,30785
West,Retail,Winter,Social Media,36268
West,Wholesale,Summer,TV Ads,46825
East,Retail,Summer,Radio Ads,30973
West,Wholesale,Fall,Email Campaign,14312
East,Wholesale,Winter,Radio Ads,35024
West,Wholesale,Summer,Email Campaign,47265
East,Retail,Fall,Social Media,35478
North,Retail,Spring,TV Ads,11532
East,Wholesale,Spring,Email Campaign,17504
North,Wholesale,Spring,Email Campaign,25289
West,Retail,Summer,Social Media,25678
East,Wholesale,Winter,Social Media,48978
West,Wholesale,Fall,TV Ads,42832
North,Retail,Summer,Social Media,40248
North,Retail,Winter,TV Ads,32189
North,Wholesale,Winter,Email Campaign,39326
South,Retail,Spring,Radio Ads,16625
North,Wholesale,Winter,Radio Ads,32606
South,Retail,Spring,Social Media,31010
North,Wholesale,Fall,Email Campaign,35354
North,Retail,Winter,Radio Ads,32603
South,Wholesale,Summer,TV Ads,48108
West,Wholesale,Spring,Social Media,16166
North,Wholesale,Summer,TV Ads,37431
West,Wholesale,Fall,TV Ads,29895
North,Retail,Spring,Social Media,43834
West,Wholesale,Fall,Radio Ads,41249
West,Retail,Spring,Radio Ads,31191
North,Retail,Summer,Radio Ads,13302
West,Retail,Fall,Social Media,45223
East,Retail,Fall,Email Campaign,42531
North,Retail,Fall,Radio Ads,35965
North,Wholesale,Spring,Radio Ads,33560
South,Wholesale,Summer,Radio Ads,33654
North,Wholesale,Winter,Email Campaign,13422
South,Retail,Summer,Radio Ads,36765
West,Retail,Summer,Social Media,29534
North,Retail,Spring,Email Campaign,31509
North,Wholesale,Spring,Email Campaign,24297
South,Wholesale,Fall,TV Ads,23299
East,Retail,Spring,Social Media,17899
East,Wholesale,Fall,Email Campaign,42181
East,Retail,Winter,Radio Ads,36462
North,Retail,Spring,Social Media,26047
East,Wholesale,Winter,TV Ads,34370
West,Wholesale,Winter,TV Ads,13723
North,Wholesale,Summer,TV Ads,37130
East,Wholesale,Spring,Radio Ads,20282
West,Retail,Winter,TV Ads,46071
North,Retail,Spring,Radio Ads,47969
West,Retail,Spring,TV Ads,36591
East,Retail,Fall,Radio Ads,12662
West,Retail,Winter,Radio Ads,39133
South,Retail,Summer,TV Ads,32962
North,Wholesale,Spring,Radio Ads,35138
West,Wholesale,Spring,Radio Ads,19807
North,Wholesale,Summer,Radio Ads,39459
North,Retail,Fall,Social Media,42109
South,Wholesale,Winter,TV Ads,22857
South,Wholesale,Fall,Radio Ads,29945
East,Wholesale,Spring,Email Campaign,14998
South,Wholesale,Fall,Email Campaign,27936
East,Wholesale,Winter,Radio Ads,17760
East,Wholesale,Fall,Email Campaign,27986
South,Wholesale,Fall,TV Ads,25352
East,Retail,Spring,Email Campaign,40929
East,Retail,Summer,TV Ads,25759
East,Wholesale,Spring,Email Campaign,29339
West,Retail,Fall,TV Ads,39623
North,Retail,Fall,Radio Ads,20261
West,Wholesale,Winter,TV Ads,20884
West,Retail,Spring,Email Campaign,44826
West,Retail,Spring,Social Media,32111
North,Retail,Winter,Radio Ads,48131
North,Wholesale,Summer,TV Ads,45143
West,Retail,Fall,Radio Ads,25179
North,Wholesale,Spring,TV Ads,13333
North,Retail,Spring,Email Campaign,19384
West,Retail,Summer,Social Media,10741
South,Retail,Summer,Radio Ads,43313
East,Retail,Winter,TV Ads,44350
East,Wholesale,Summer,TV Ads,49400
North,Retail,Winter,Email Campaign,22433
East,Wholesale,Spring,Radio Ads,29509
South,Retail,Winter,Email Campaign,12079
South,Wholesale,Fall,Social Media,38069
East,Retail,Fall,Radio Ads,19006
East,Wholesale,Summer,Radio Ads,17016
East,Wholesale,Fall,Radio Ads,28620
East,Wholesale,Summer,Radio Ads,11671
South,Retail,Spring,TV Ads,44649
East,Retail,Winter,TV Ads,46492
West,Retail,Fall,TV Ads,37230
East,Retail,Winter,TV Ads,20479
South,Retail,Summer,Radio Ads,23576
East,Wholesale,Spring,Social Media,49121
South,Retail,Fall,Email Campaign,44701
North,Retail,Winter,TV Ads,47649
East,Retail,Summer,Social Media,34485
West,Wholesale,Spring,TV Ads,17435
West,Retail,Spring,Social Media,47984
North,Wholesale,Winter,TV Ads,12375
South,Retail,Fall,Email Campaign,24252
South,Wholesale,Spring,Email Campaign,22714
East,Retail,Spring,Social Media,14784
West,Wholesale,Winter,Social Media,37326
North,Retail,Spring,Radio Ads,33515
North,Wholesale,Spring,Social Media,27793
East,Retail,Spring,TV Ads,33894
East,Retail,Winter,Radio Ads,33324
East,Retail,Summer,Social Media,46308
West,Retail,Fall,Email Campaign,23212
West,Retail,Winter,Social Media,41562
South,Wholesale,Fall,Email Campaign,13985
North,Retail,Summer,Social Media,42373
East,Retail,Summer,TV Ads,14818
East,Wholesale,Summer,Email Campaign,32054
South,Retail,Winter,Email Campaign,24811
East,Wholesale,Winter,TV Ads,17233
West,Wholesale,Spring,Email Campaign,25322
West,Wholesale,Winter,TV Ads,45006
East,Wholesale,Fall,Radio Ads,11216
North,Wholesale,Fall,Email Campaign,29095
South,Retail,Winter,Radio Ads,49143
East,Wholesale,Summer,Social Media,32444
East,Retail,Summer,Email Campaign,24380
South,Wholesale,Spring,Social Media,48499
North,Wholesale,Fall,Radio Ads,43875
East,Wholesale,Winter,Radio Ads,36809
East,Retail,Fall,Social Media,42954
West,Retail,Spring,Radio Ads,41809
West,Retail,Spring,Radio Ads,42904
North,Wholesale,Winter,Social Media,36038
North,Wholesale,Spring,Email Campaign,14798
East,Retail,Spring,Email Campaign,11413
South,Retail,Summer,Social Media,37352
South,Retail,Winter,Social Media,29136
East,Wholesale,Fall,TV Ads,32308
North,Retail,Fall,TV Ads,19890
East,Wholesale,Fall,TV Ads,10083
West,Wholesale,Fall,Email Campaign,48205
East,Retail,Summer,Email Campaign,45045
North,Retail,Fall,Social Media,48972
North,Retail,Spring,Email Campaign,46153
East,Wholesale,Fall,Social Media,19594
South,Wholesale,Winter,Email Campaign,32483
West,Wholesale,Fall,TV Ads,18259
North,Retail,Summer,Radio Ads,37394
South,Wholesale,Spring,Radio Ads,49826
West,Retail,Winter,Radio Ads,44723
North,Retail,Winter,Email Campaign,10176
West,Retail,Spring,Email Campaign,10279
East,Retail,Winter,Social Media,16881
North,Wholesale,Spring,Email Campaign,27771
North,Retail,Winter,Social Media,35222
East,Wholesale,Winter,Email Campaign,45754
South,Retail,Fall,TV Ads,36503
West,Retail,Winter,Email Campaign,48463
North,Wholesale,Spring,Radio Ads,28515
East,Retail,Spring,Social Media,20796
North,Retail,Winter,Radio Ads,46161
North,Wholesale,Fall,Social Media,38947
North,Retail,Spring,TV Ads,13125
East,Wholesale,Summer,Social Media,16532
